{'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'exp': 'ACDC_runs/vcps_hs2',
 'gpu_id': 1,
 'is_hs': True,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet_hsseg',
 'model2': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
total 1312 samples
total 20 samples
Total silices is: 1312, labeled slices is: 68
103 iterations per epoch
  0%|                                         | 0/292 [00:00<?, ?it/s]iteration:1  t-loss1/2:4.5980/4.4152, loss-lb1/2:4.5980/4.4152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:116  t-loss1/2:0.3191/0.3806, loss-lb1/2:0.3191/0.3806, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:117  t-loss1/2:0.4170/0.3251, loss-lb1/2:0.4170/0.3251, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:118  t-loss1/2:0.3062/0.2933, loss-lb1/2:0.3062/0.2933, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:119  t-loss1/2:0.3021/0.2814, loss-lb1/2:0.3021/0.2814, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:120  t-loss1/2:0.3749/0.3682, loss-lb1/2:0.3749/0.3682, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:121  t-loss1/2:0.2766/0.2770, loss-lb1/2:0.2766/0.2770, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:122  t-loss1/2:0.3098/0.2687, loss-lb1/2:0.3098/0.2687, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:123  t-loss1/2:0.4387/0.3741, loss-lb1/2:0.4387/0.3741, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:124  t-loss1/2:0.4558/0.3991, loss-lb1/2:0.4558/0.3991, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:125  t-loss1/2:0.3564/0.3246, loss-lb1/2:0.3564/0.3246, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:126  t-loss1/2:0.3123/0.3320, loss-lb1/2:0.3123/0.3320, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
